#i,time,PWM_l,PWM_r,x,y,theta
276,2.75,11688.339020668795,19938.93127055265,3487.701164029386,1780.0230833062396,-22.81415094339625
277,2.76,11917.522138721124,19824.339711526485,3492.389345618587,1791.1681205080295,-22.13218867924531
278,2.77,12146.705256773452,19709.74815250032,3496.961048943408,1802.4087478493548,-21.47864150943399
279,2.78,12375.888374825781,19595.156593474156,3501.420281268087,1813.7415556702708,-20.853509433962294
280,2.79,12605.07149287811,19480.56503444799,3505.7711974333115,1825.163279030142,-20.25679245283021
281,2.80,12834.25461093044,19365.973475421826,3510.0180937272953,1836.6707937944066,-19.688490566037764
282,2.81,13063.43772898277,19251.38191639566,3514.165402054836,1848.261112351449,-19.14860377358493
283,2.82,13292.6208470351,19136.790357369497,3518.2176843991165,1859.9313789763319,-18.63713207547172
284,2.83,13521.803965087429,19022.198798343332,3522.1796275697234,1871.678864857281,-18.15407547169814
285,2.84,13750.987083139757,18907.607239317167,3526.056038229144,1883.5009627999807,-17.699433962264177
286,2.85,13980.170201192086,18793.015680291002,3529.851838188848,1895.3951816238723,-17.273207547169832
287,2.86,14209.353319244416,18678.424121264838,3533.572059964966,1907.3591402638476,-16.87539622641512
288,2.87,14438.536437296745,18563.832562238673,3537.221842582514,1919.3905615899193,-16.506000000000025
289,2.88,14667.719555349075,18449.241003212508,3540.8064276161267,1931.487265956659,-16.16501886792455
290,2.89,14896.902673401404,18334.649444186343,3544.3311554542843,1943.647164493469,-15.852452830188708
291,2.90,15126.085791453734,18220.05788516018,3547.8014617731287,1955.868252146026,-15.568301886792483
