i,time,PWM_l,PWM_r,x,y,theta
113,11.3,0.25,0.5,-343.21818371933045,-363.6229573225569,2.695363318166475
114,11.4,0.25,0.5,-352.87459513268783,-359.0506873210651,2.7617343854506218
115,11.5,0.25,0.5,-362.7605845412233,-355.1679398390227,2.827589774317551
116,11.600000000000001,0.25,0.5,-372.9220777924772,-351.9267989187757,2.893121527534408
117,11.700000000000001,0.25,0.5,-383.13019336455665,-349.2894838016477,2.959802705851597
118,11.8,0.25,0.5,-393.5497209536622,-347.3586056398076,3.0254195709750173
119,11.9,0.25,0.5,-404.22085967268583,-346.14658321209424,3.091413894348404
120,12.0,0.25,0.5,-414.96251139861994,-345.61277367802273,3.1561233555663657
121,12.100000000000001,0.25,0.5,-425.7874903903349,-345.76740518780554,3.2220231253545166
122,12.200000000000001,0.25,0.5,-436.4622252162781,-346.63385394101914,3.2876601229917792
123,12.3,0.25,0.5,-446.8470095235292,-348.18991633131617,3.3534268391883577
124,12.4,0.25,0.5,-457.3227321322997,-350.45026912571296,3.418583252714404
125,12.5,0.25,0.5,-467.46466266786587,-353.4495123645843,3.4850262687420694
126,12.600000000000001,0.25,0.5,-477.42412663556024,-357.04076044656176,3.5506045848558347
127,12.700000000000001,0.25,0.5,-487.0942695073635,-361.2065979387709,3.616358317795612
128,12.8,0.25,0.5,-496.51921295480685,-366.08272907452346,3.6834456055935294
129,12.9,0.25,0.5,-505.5227580074089,-371.58148360112057,3.749623920496868
130,13.0,0.25,0.5,-514.3051898385753,-377.69540466018765,3.8153209029798525
131,13.100000000000001,0.25,0.5,-522.6065905975001,-384.35377726850686,3.8807774822501973
132,13.200000000000001,0.25,0.5,-530.4063647907465,-391.57230204853056,3.9469655396481476
133,13.3,0.25,0.5,-537.7930969904969,-399.28400827363134,4.012072151064235
134,13.4,0.25,0.5,-544.6234852119578,-407.6067143387683,4.078568449092391
135,13.5,0.25,0.5,-550.9414573243,-416.1576237199672,4.144154574604512
136,13.600000000000001,0.25,0.5,-556.6022443899692,-425.2291072337144,4.210148397924043
137,13.700000000000001,0.25,0.5,-561.7140834784333,-434.6500840955756,4.27551406675389
138,13.8,0.25,0.5,-566.2205221622442,-444.388611497966,4.341843933204187
139,13.9,0.25,0.5,-570.0090919952869,-454.3085779055435,4.408406402966536
140,14.0,0.25,0.5,-573.199608600099,-464.3447617449384,4.474118752098162
141,14.100000000000001,0.25,0.5,-575.6894506500338,-474.8855405516215,4.540165559027246
142,14.200000000000001,0.25,0.5,-577.5159963046348,-485.3837489566158,4.605852917686776
143,14.3,0.25,0.5,-578.6185163492561,-495.9821501594716,4.671434841745875
144,14.4,0.5,0.25,-579.052998089002,-506.6891433965913,4.737978767760369
145,14.5,0.5,0.25,-578.7811407540504,-517.4576129522604,4.670434423475557
146,14.600000000000001,0.5,0.25,-579.2274431425994,-528.0316556544011,4.604182021120893
147,14.700000000000001,0.5,0.25,-580.3926163509975,-538.6585334751279,4.539688294469352
148,14.8,0.5,0.25,-582.2138489763282,-549.1314901606161,4.473911956322682
149,14.9,0.5,0.25,-584.7510794055818,-559.6221413490462,4.408157023785582
150,15.0,0.5,0.25,-587.9618281971992,-569.7316574903857,4.341610855291903
